#{"t_start": 1776778095.5306222, "env_id": "None"}
r,l,t,is_success
58.095689,22,5606.768282,True
57.183793,66,5609.951542,True
60.652756,24,5611.126764,True
54.542637,9,5611.57296,True
62.994345,80,5615.401623,True
55.782455,12,5615.99036,True
61.021478,38,5617.828707,True
58.37513,20,5618.800645,True
57.106162,68,5622.056052,True
62.343101,27,5623.438884,True
59.090872,24,5624.606504,True
58.785081,19,5625.526344,True
53.572419,9,5625.968899,True
59.151324,22,5627.039688,True
54.758978,14,5627.719157,True
58.790374,24,5628.882446,True
61.230954,25,5630.091238,True
64.696233,110,5635.435944,True
59.551547,20,5636.399671,True
64.579117,38,5638.284193,True
55.089215,12,5638.874187,True
59.519514,69,5649.734272,True
61.750063,24,5650.894678,True
4.237131,92,5655.292813,False
63.935074,109,5660.584891,True
61.762458,29,5662.002089,True
59.037311,23,5663.107766,True
61.371399,84,5667.220704,True
59.169629,24,5668.392578,True
53.767175,47,5670.689264,True
58.123052,65,5673.824741,True
57.978184,67,5677.034712,True
57.135071,65,5680.159944,True
56.778418,99,5684.980251,True
57.835373,22,5686.049298,True
62.782772,77,5689.754354,True
56.941715,20,5690.736036,True
60.199593,74,5694.312316,True
59.446808,26,5695.565979,True
62.756396,37,5697.340049,True
62.026965,25,5698.558413,True
58.436489,71,5701.97274,True
64.300411,81,5705.858801,True
61.507872,24,5707.014029,True
62.36754,27,5708.321302,True
4.310352,58,5711.136267,False
60.864096,56,5713.86598,True
67.696401,145,5720.861675,True
59.391734,21,5721.882387,True
61.00844,78,5725.710644,True
61.60798,71,5729.172556,True
57.097137,67,5732.402308,True
58.156115,25,5733.605805,True
60.19826,74,5737.156156,True
57.188823,15,5737.889928,True
60.160653,23,5739.00082,True
63.392327,32,5740.708625,True
66.384498,138,5754.886845,True
56.879874,33,5756.488121,True
61.935734,75,5760.093436,True
49.774887,1,5760.155635,True
65.315148,120,5766.019413,True
63.462692,78,5769.792062,True
54.923664,11,5770.33344,True
63.416004,40,5772.27891,True
59.864688,67,5775.5216,True
61.494369,31,5777.028062,True
63.497197,129,5783.217969,True
67.310533,45,5785.460109,True
58.539742,18,5786.336099,True
57.446749,62,5789.319168,True
53.87549,55,5792.010143,True
67.997286,129,5798.285345,True
